department;region;district_region;post_index;city_type;city;district_city;street_type;street;hous;address;koatu;partner
1010126;Миколаївська;;55210;м.;Первомайськ;;вулиця;Вознесенська;52-Б;55210, Миколаївська обл., місто Первомайськ, ВУЛИЦЯ ВОЗНЕСЕНСЬКА, будинок 52-Б;4810400000;Делівері Авто
1010127;Івано-Франківська;Рогатинський;77001;м.;Рогатин;;вулиця;Галицька;86;77001, Івано-Франківська обл., Рогатинський район, місто Рогатин, ВУЛИЦЯ ГАЛИЦЬКА, будинок 86;2624410100;Делівері Авто
1010128;Тернопільська;Теребовлянський;48101;м.;Теребовля;;вулиця;КНЯЗЯ ВАСИЛЬКА;107;48101, Тернопільська обл., Теребовлянський район, місто Теребовля, ВУЛИЦЯ КНЯЗЯ ВАСИЛЬКА, будинок 107;6125010100;Делівері Авто
1010129;Одеська;;65075;м.;Одеса;Малиновський;вулиця;МОТОРНА;8/К1;65075, Одеська обл., місто Одеса, Малиновський район, ВУЛИЦЯ МОТОРНА, будинок 8/К1;5110137300;Делівері Авто
1010130;Вінницька;Бершадський;24400;м.;Бершадь;;вулиця;Юрія Коваленка;19;24400, Вінницька обл., Бершадський р-н., м.Бершадь, вул.Юрія Коваленка, 19;0520410100;Делівері Авто
1010131;Донецька;;84404;м.;Лиман;;вулиця;Привокзальна;35-А;84404, Донецька обл., місто Лиман, ВУЛИЦЯ ПРИВОКЗАЛЬНА, будинок 35-А;1413300000;Делівері Авто
1010132;Вінницька;Гайсинський;23700;м.;Гайсин;;вулиця;МЕХАНІЗАТОРІВ;15-А;23700, Вінницька обл., Гайсинський район, місто Гайсин, ВУЛИЦЯ МЕХАНІЗАТОРІВ, будинок 15-А;0520810100;Делівері Авто
1010133;;;03151;м.;Київ;Солом'янський;проспект;ПОВІТРОФЛОТСЬКИЙ;64;03151, м.Київ, Солом'янський район, ПРОСПЕКТ ПОВІТРОФЛОТСЬКИЙ, будинок 64;8038900000;Делівері Авто
1010134;Вінницька;;21018;м.;Вінниця;;вулиця;Скалецького;15-А;21018, Вінницька обл., м.Вінниця, вул.Скалецького, 15-А;0510100000;Делівері Авто
1010135;Донецька;Мар’їнський;85612;м.;Курахове;;вулиця;Грушева;9/1;85612, Донецька обл., Мар’їнський р-н., м.Курахове, вул.Грушева, 9/1;1423310600;Делівері Авто
1010136;;;02218;м.;Київ;Дніпровський;бульвар;Перова;19-А;02218, м.Київ, Дніпровський район, БУЛЬВАР ПЕРОВА, будинок 19-А;8036600000;Делівері Авто
1010137;Дніпропетровська;;49041;м.;Дніпро;Соборний;проспект;Праці;2-А;49041, Дніпропетровська обл., місто Дніпро, Соборний район, ПРОСПЕКТ ПРАЦІ, будинок 2-А;1210136900;Делівері Авто
1010138;Донецька;;85323;м.;Мирноград;;вулиця;ЦЕНТРАЛЬНА;18;85323, Донецька обл., місто Мирноград, ВУЛИЦЯ ЦЕНТРАЛЬНА, будинок 18;1411300000;Делівері Авто
1010139;Рівненська;;35063;м.;Дубно;;вулиця;Стефаника;6;35063, Рівненська обл., місто Дубно, ВУЛИЦЯ СТЕФАНИКА, будинок 6;5610300000;Делівері Авто
1010140;Київська;;08292;м.;Буча;;вулиця;Яблунська;144;08292, Київська обл., м.Буча, вул.Яблунська, 144;3210800000;Делівері Авто
1010141;Івано-Франківська;;77304;м.;Калуш;;вулиця;Каракая;24;77304, Івано-Франківська обл., м.Калуш, вул.Каракая, 24;2610400000;Делівері Авто
1010142;Сумська;Кролевецький;41300;м.;Кролевець;;вулиця;ГЕРОЇВ КРУТ;15;41300, Сумська обл., Кролевецький район, місто Кролевець, ВУЛИЦЯ ГЕРОЇВ КРУТ, будинок 15;5922610100;Делівері Авто
1010143;Одеська;;66101;м.;Балта;;вулиця;Садова;11;66101, Одеська обл, м.Балта, вул.Садова, 11;5110200000;Делівері Авто
1010144;Херсонська;Скадовський;75700;м.;Скадовськ;;вулиця;В'ячеслава Чорновола;103;75700, Херсонська обл., Скадовський р-н., м.Скадовськ, вул.В'ячеслава Чорновола, 103;6524710100;Делівері Авто
1010145;Закарпатська;Ужгородський;89427;с.;Минай;;вулиця;Патруса Карпатського;13-А;89427, Закарпатська обл., Ужгородський р-н., с.Минай, вул. Патруса Карпатського, 13-А;2124887403;Делівері Авто
1010146;Тернопільська;;89427;м.;Бережани;;вулиця;Привокзальна;1;89427, Тернопільська обл., м.Бережани, вул. Привокзальна, 1;6110500000;Делівері Авто
1010147;Донецька;Бахмутський;84545;м.;Соледар;;вулиця;Карпінського;1/10;84545, Донецька обл., Бахмутський р-н., м.Соледар, вул.Карпінського, 1/10;1420910800;Делівері Авто
1010148;Донецька;;86060;м.;Авдіївка;;проспект;Індустріальний;1;86060, Донецька обл., місто Авдіївка, ПРОСПЕКТ ІНДУСТРІАЛЬНИЙ, будинок 1;1410200000;Делівері Авто
1010149;Харківська;;64102;м.;Первомайський;;;1/2 мікрорайон;55;64102, Харківська обл., місто Первомайський, 1/2 МІКРОРАЙОН, будинок 55;6311500000;Делівері Авто
1010150;;;02222;м.;Київ;Деснянський;вулиця;Електротехнічна;43-А;02222, м.Київ, Деснянський район, ВУЛИЦЯ ЕЛЕКТРОТЕХНІЧНА, будинок 43-А;8036400000;Делівері Авто
1010151;;;67400;м.;Київ;Шевченківський;вулиця;СІМ'Ї ХОХЛОВИХ;11/2;04119, м.Київ, Шевченківський район, ВУЛИЦЯ СІМ'Ї ХОХЛОВИХ, будинок 11/2;8039100000;Делівері Авто
1010152;Рівненська;;33027;м.;Рівне;;вулиця;Данила Галицького;27;33027, Рівненська обл., м.Рівне, ВУЛИЦЯ Данила Галицького, будинок 27;5610100000;Делівері Авто
1010153;Черкаська;Звенигородський;20202;м.;Звенигородка;;вулиця;В’ячеслава Липинського;27;20202, Черкаська обл, Звенигородський р-н., м.Звенигородка, вул.В’ячеслава Липинського, 27;7121210100;Делівері Авто
1010154;Одеська;;68100;м.;Ізмаїл;;вулиця;Шевченка;120;68610, Одеська обл, м.Ізмаїл, вул.Шевченка, 120;5110600000;Делівері Авто
1010155;Херсонська;;73008;м.;Херсон;Дніпровський;вулиця;Ладичука;150;73008, Херсонська обл., м.Херсон, Дніпровський р-н., вул.Ладичука, 150;6510136300;Делівері Авто
1010156;Дніпропетровська;;51205;м.;Новомосковськ;;вулиця;Спаська;16;51205, Дніпропетровська обл., м.Новомосковськ, вул.Спаська,16;1211900000;Делівері Авто
1010157;Полтавська;Чаплинський;37503;м.;Лубни;;проспект;Вoлодимирський;94-А;37503, Полтавська обл., м.Лубни, проспект Вoлодимирський, 94-А;5310700000;Делівері Авто
1010158;Сумська;Путивльський;41500;м.;Путивль;;вулиця;Кузнечна;28;41500, Сумська обл., Путивльський р-н., м.Путивль, вул.Кузнечна, 28;5923810100;Делівері Авто
